Total, Totali
Order, Porosia
Sku, SKU
Continue to shipping, Vazhdo me dërgimin
Continue shopping, Vazhdo me blerjet
Continue Shopping, Vazhdo me blerjet
CONTINUE SHOPPING, VAZHDO ME BLERJET
Shopping cart, Shporta
Product, Produkti
Price, Çmimi
Quantity, Sasia
Remove, Hiq
Qty, Nr.
Sub total, Nëntotal
Discount(${coupon}), Zbritja (${coupon})
Order summary, Përmbledhja e porosisë
Taxes and shipping calculated at checkout, Tatimi dhe shpenzimet do të llogariten gjatë pagesës
CHECKOUT, PAGESA
Change, Ndrysho
Payment Method, Metoda e pagesës
Shipping Method, Metoda e dërgimit
No payment methods available, Asnjë metodë pagese e disponueshme
Place Order, Bëj porosinë
My billing address is the same as the shipping address, Adresa ime e faturimit është e njëjtë me adresën e dërgimit
${count} items, ${count} artikuj
Discount, Zbritje
Shipping, Dërgimi
No tax, Asnjë tatim
Tax, Tatimi
Sorry, Më vjen keq
Please enter a shipping address in order to see shipping quotes, Shkruaj një adresë dërgimi për të parë shpenzimet e dërgimit
Continue to payment, Vazhdo me pagesën
No payment method available, Asnjë metodë pagese e disponueshme
Ship to, Dërgo tek
Shipment, Dërgimi
Thank you ${name}!, Faleminderit ${name}!
Contact information, Informacione mbi kontaktin
Order #${orderNumber}, Porosia n. ${orderNumber}
ADD TO CART, SHTO NË SHPORTË
Please select variant options, Të lutem zgjidh një
VIEW CART (${count}), SHIH SHPORTËN (${count})
JUST ADDED TO YOUR CART, SHTO NË SHPORTË
Promotion code?, Ke një klup promocional?
Enter coupon code, Shkruaj kodin e kuponi-t
Apply, Apliko
Your cart is empty!, Shporta juaj është bosh!
Inclusive of tax ${taxAmount}, Përfshirë ${taxAmount} tatim.
